X,CH1,CH2,
Second,Volt,Volt,
-4.2399998e-07,8.20000e-03,1.12000e-03,
-4.1999999e-07,8.40000e-03,1.04000e-03,
-4.1599998e-07,8.20000e-03,1.04000e-03,
-4.1199999e-07,8.40000e-03,1.20000e-03,
-4.0799998e-07,8.80000e-03,1.36000e-03,
-4.0399999e-07,9.00000e-03,1.28000e-03,
-3.9999998e-07,8.80000e-03,1.36000e-03,
-3.9599999e-07,9.00000e-03,1.36000e-03,
-3.9199998e-07,9.00000e-03,1.28000e-03,
-3.8799999e-07,9.00000e-03,1.44000e-03,
-3.8400000e-07,9.20000e-03,1.44000e-03,
-3.7999999e-07,9.20000e-03,1.44000e-03,
-3.7600000e-07,9.20000e-03,1.36000e-03,
-3.7199999e-07,9.20000e-03,1.52000e-03,
-3.6800000e-07,9.00000e-03,1.44000e-03,
-3.6399999e-07,9.20000e-03,1.60000e-03,
-3.6000000e-07,8.80000e-03,1.60000e-03,
-3.5599999e-07,8.80000e-03,1.60000e-03,
-3.5200000e-07,8.60000e-03,1.60000e-03,
-3.4799999e-07,8.60000e-03,1.44000e-03,
-3.4400000e-07,8.60000e-03,1.52000e-03,
-3.3999999e-07,8.20000e-03,1.60000e-03,
-3.3600000e-07,7.80000e-03,1.44000e-03,
-3.3199998e-07,7.60000e-03,1.60000e-03,
-3.2800000e-07,7.40000e-03,1.52000e-03,
-3.2399998e-07,7.40000e-03,1.52000e-03,
-3.2000000e-07,6.80000e-03,1.36000e-03,
-3.1599998e-07,6.60000e-03,1.44000e-03,
-3.1200000e-07,6.20000e-03,1.36000e-03,
-3.0799998e-07,5.80000e-03,1.28000e-03,
-3.0400000e-07,5.80000e-03,1.28000e-03,
-2.9999998e-07,5.40000e-03,1.04000e-03,
-2.9600000e-07,4.80000e-03,1.12000e-03,
-2.9199998e-07,4.40000e-03,1.04000e-03,
-2.8800000e-07,4.20000e-03,1.12000e-03,
-2.8399998e-07,3.80000e-03,1.04000e-03,
-2.7999999e-07,3.40000e-03,8.80000e-04,
-2.7599998e-07,3.00000e-03,8.80000e-04,
-2.7199999e-07,2.40000e-03,8.00000e-04,
-2.6799998e-07,2.20000e-03,9.60000e-04,
-2.6399999e-07,1.60000e-03,6.40000e-04,
-2.5999998e-07,1.40000e-03,6.40000e-04,
-2.5599999e-07,8.00000e-04,4.80000e-04,
-2.5200001e-07,4.00000e-04,5.60000e-04,
-2.4799999e-07,0.00000e+00,4.00000e-04,
-2.4400001e-07,-4.00000e-04,3.20000e-04,
-2.3999999e-07,-1.00000e-03,3.20000e-04,
